STATION,route_id,hour,crowd
116 ST,6,9,0.0
116 ST,6,10,0.0
116 ST,6,11,0.0
116 ST,6,12,0.0
116 ST,6,13,0.0
116 ST,6,14,0.0
116 ST,6,15,0.0
116 ST,6,16,0.0
116 ST,6,17,0.0
116 ST,6,18,0.0
116 ST,6,19,0.0
116 ST,6,20,0.0
116 ST,6,21,0.0
116 ST,6,22,0.0
116 ST,6,23,0.0
116 ST,6X,0,0.0
116 ST,6X,1,0.0
116 ST,6X,2,0.0
116 ST,6X,3,0.0
116 ST,6X,4,0.0
116 ST,6X,5,0.0
116 ST,6X,6,0.0
116 ST,6X,7,0.0
116 ST,6X,8,0.0
116 ST,6X,9,0.0
116 ST,6X,10,0.0
116 ST,6X,11,0.0
116 ST,6X,12,0.0
116 ST,6X,13,0.0
116 ST,6X,14,0.0
116 ST,6X,15,0.0
116 ST,6X,16,0.0
116 ST,6X,17,0.0
116 ST,6X,18,0.0
116 ST,6X,19,0.0
116 ST,6X,20,0.0
116 ST,6X,21,0.0
116 ST,6X,22,0.0
116 ST,6X,23,0.0
116 ST,A,0,193.0
116 ST,A,1,193.0
116 ST,A,2,193.0
116 ST,A,3,25.0
116 ST,A,4,9.0
116 ST,A,5,6.0
116 ST,A,6,0.0
116 ST,A,7,65.0
116 ST,A,8,131.0
116 ST,A,9,196.0
116 ST,A,10,0.0
116 ST,A,11,0.0
116 ST,A,12,0.0
116 ST,A,13,0.0
116 ST,A,14,0.0
116 ST,A,15,0.0
116 ST,A,16,0.0
116 ST,A,17,0.0
116 ST,A,18,0.0
116 ST,A,19,0.0
116 ST,A,20,0.0
116 ST,A,21,0.0
116 ST,A,22,0.0
116 ST,A,23,0.0
116 ST,B,0,18.0
116 ST,B,1,13.0
116 ST,B,2,30.0
116 ST,B,3,47.0
116 ST,B,4,64.0
116 ST,B,5,82.0
116 ST,B,6,99.0
116 ST,B,7,116.0
116 ST,B,8,133.0
116 ST,B,9,150.0
116 ST,B,10,340.0
116 ST,B,11,109.0
116 ST,B,12,66.0
116 ST,B,13,80.0
116 ST,B,14,128.0
116 ST,B,15,243.0
116 ST,B,16,254.0
116 ST,B,17,292.0
116 ST,B,18,338.0
116 ST,B,19,266.0
116 ST,B,20,258.0
116 ST,B,21,80.0
116 ST,B,22,38.0
116 ST,B,23,19.0
116 ST,C,0,4.0
116 ST,C,1,1.0
116 ST,C,2,1.0
116 ST,C,3,0.0
116 ST,C,4,5.0
116 ST,C,5,11.0
116 ST,C,6,16.0
116 ST,C,7,21.0
116 ST,C,8,27.0
116 ST,C,9,32.0
116 ST,C,10,35.0
116 ST,C,11,36.0
116 ST,C,12,17.0
116 ST,C,13,21.0
116 ST,C,14,52.0
116 ST,C,15,25.0
116 ST,C,16,19.0
116 ST,C,17,8.0
116 ST,C,18,17.0
116 ST,C,19,21.0
116 ST,C,20,17.0
116 ST,C,21,11.0
116 ST,C,22,9.0
116 ST,C,23,5.0
116 ST,D,0,0.0
116 ST,D,1,0.0
116 ST,D,2,0.0
116 ST,D,3,0.0
116 ST,D,4,0.0
116 ST,D,5,0.0
116 ST,D,6,0.0
116 ST,D,7,0.0
116 ST,D,8,0.0
116 ST,D,9,0.0
116 ST,D,10,0.0
116 ST,D,11,0.0
116 ST,D,12,0.0
116 ST,D,13,0.0
116 ST,D,14,0.0
116 ST,D,15,0.0
116 ST,D,16,0.0
116 ST,D,17,0.0
116 ST,D,18,0.0
116 ST,D,19,0.0
116 ST,D,20,0.0
116 ST,D,21,0.0
116 ST,D,22,0.0
116 ST,D,23,0.0
116 ST-COLUMBIA,1,0,27.0
116 ST-COLUMBIA,1,1,3.0
116 ST-COLUMBIA,1,2,1.0
116 ST-COLUMBIA,1,3,8.0
116 ST-COLUMBIA,1,4,36.0
116 ST-COLUMBIA,1,5,62.0
116 ST-COLUMBIA,1,6,373.0
116 ST-COLUMBIA,1,7,684.0
116 ST-COLUMBIA,1,8,994.0
116 ST-COLUMBIA,1,9,1305.0
116 ST-COLUMBIA,1,10,160.0
116 ST-COLUMBIA,1,11,47.0
116 ST-COLUMBIA,1,12,49.0
116 ST-COLUMBIA,1,13,283.0
116 ST-COLUMBIA,1,14,303.0
116 ST-COLUMBIA,1,15,475.0
116 ST-COLUMBIA,1,16,412.0
116 ST-COLUMBIA,1,17,262.0
116 ST-COLUMBIA,1,18,350.0
116 ST-COLUMBIA,1,19,203.0
116 ST-COLUMBIA,1,20,95.0
116 ST-COLUMBIA,1,21,39.0
116 ST-COLUMBIA,1,22,23.0
116 ST-COLUMBIA,1,23,30.0
116 ST-COLUMBIA,3,0,0.0
116 ST-COLUMBIA,3,1,0.0
116 ST-COLUMBIA,3,2,0.0
116 ST-COLUMBIA,3,3,0.0
116 ST-COLUMBIA,3,4,0.0
116 ST-COLUMBIA,3,5,0.0
116 ST-COLUMBIA,3,6,0.0
116 ST-COLUMBIA,3,7,0.0
116 ST-COLUMBIA,3,8,0.0
116 ST-COLUMBIA,3,9,0.0
116 ST-COLUMBIA,3,10,0.0
116 ST-COLUMBIA,3,11,0.0
116 ST-COLUMBIA,3,12,0.0
116 ST-COLUMBIA,3,13,0.0
116 ST-COLUMBIA,3,14,0.0
116 ST-COLUMBIA,3,15,0.0
116 ST-COLUMBIA,3,16,0.0
116 ST-COLUMBIA,3,17,0.0
116 ST-COLUMBIA,3,18,0.0
116 ST-COLUMBIA,3,19,0.0
116 ST-COLUMBIA,3,20,0.0
116 ST-COLUMBIA,3,21,0.0
116 ST-COLUMBIA,3,22,0.0
116 ST-COLUMBIA,3,23,0.0
121 ST,J,0,1.0
121 ST,J,1,1.0
121 ST,J,2,1.0
121 ST,J,3,7.0
121 ST,J,4,19.0
121 ST,J,5,75.0
121 ST,J,6,172.0
121 ST,J,7,270.0
121 ST,J,8,368.0
121 ST,J,9,465.0
121 ST,J,10,35.0
121 ST,J,11,21.0
121 ST,J,12,19.0
121 ST,J,13,17.0
121 ST,J,14,29.0
121 ST,J,15,41.0
121 ST,J,16,11.0
121 ST,J,17,14.0
121 ST,J,18,34.0
121 ST,J,19,10.0
121 ST,J,20,6.0
121 ST,J,21,4.0
121 ST,J,22,2.0
121 ST,J,23,1.0
121 ST,Z,0,46.0
121 ST,Z,1,46.0
121 ST,Z,2,46.0
121 ST,Z,3,46.0
121 ST,Z,4,46.0
121 ST,Z,5,46.0
121 ST,Z,6,46.0
121 ST,Z,7,46.0
121 ST,Z,8,46.0
121 ST,Z,9,46.0
121 ST,Z,10,46.0
121 ST,Z,11,46.0
121 ST,Z,12,34.0
121 ST,Z,13,30.0
121 ST,Z,14,26.0
121 ST,Z,15,23.0
121 ST,Z,16,19.0
121 ST,Z,17,15.0
121 ST,Z,18,11.0
121 ST,Z,19,8.0
