stop_id,order,route_id,station,id
A09S,1,C,168 St,168 ST
A10S,2,C,163 St - Amsterdam Av,163 ST-AMSTERDM
A11S,3,C,155 St,155 ST
A12S,4,C,145 St,145 ST
A14S,5,C,135 St,135 ST
A15S,6,C,125 St,125 ST
A16S,7,C,116 St,116 ST
A17S,8,C,Cathedral Pkwy (110 St),CATHEDRAL PKWY
A18S,9,C,103 St,103 ST
A19S,10,C,96 St,96 ST
A20S,11,C,86 St,86 ST
A21S,12,C,81 St - Museum of Natural History,81 ST-MUSEUM
A22S,13,C,72 St,72 ST
A24S,14,C,59 St - Columbus Circle,59 ST COLUMBUS
A25S,15,C,50 St,50 ST
A27S,16,C,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH
A28S,17,C,34 St - Penn Station,34 ST-PENN STA
A30S,18,C,23 St,23 ST
A31S,19,C,14 St,
A32S,20,C,W 4 St - Wash Sq,W 4 ST-WASH SQ
A33S,21,C,Spring St,SPRING ST
A34S,22,C,Canal St,CANAL ST
A36S,23,C,Chambers St,CHAMBERS ST
A38S,24,C,Fulton St,FULTON ST
A40S,25,C,High St,HIGH ST
A41S,26,C,Jay St - MetroTech,JAY ST-METROTEC
A42S,27,C,Hoyt - Schermerhorn Sts,HOYT-SCHER
A43S,28,C,Lafayette Av,LAFAYETTE AV
A44S,29,C,Clinton - Washington Avs,CLINTON-WASH AV
A45S,30,C,Franklin Av,FRANKLIN AV
A46S,31,C,Nostrand Av,NOSTRAND AV
A47S,32,C,Kingston - Throop Avs,KINGSTON-THROOP
A48S,33,C,Utica Av,UTICA AV
A49S,34,C,Ralph Av,RALPH AV
A50S,35,C,Rockaway Av,ROCKAWAY AV
A51S,36,C,Broadway Jct,BROADWAY JCT
A52S,37,C,Liberty Av,LIBERTY AV
A53S,38,C,Van Siclen Av,VAN SICLEN AVE
A54S,39,C,Shepherd Av,SHEPHERD AV
A55S,40,C,Euclid Av,EUCLID AV
D01S,1,D,Norwood - 205 St,NORWOOD 205 ST
D03S,2,D,Bedford Park Blvd,BEDFORD PK BLVD
D04S,3,D,Kingsbridge Rd,KINGSBRIDGE RD
D05S,4,D,Fordham Rd,FORDHAM RD
D06S,5,D,182-183 Sts,182-183 STS
D07S,6,D,Tremont Av,TREMONT AV
D08S,7,D,174-175 Sts,174-175 STS
D09S,8,D,170 St,170 ST
D10S,9,D,167 St,167 ST
D11S,10,D,161 St - Yankee Stadium,161/YANKEE STAD
D12S,11,D,155 St,155 ST
D13S,12,D,145 St,145 ST
A15S,13,D,125 St,125 ST
A24S,14,D,59 St - Columbus Circle,59 ST COLUMBUS
D14S,15,D,7 Av,7 AV
D15S,16,D,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK
D16S,17,D,42 St - Bryant Pk,42 ST-BRYANT PK
D17S,18,D,34 St - Herald Sq,34 ST-HERALD SQ
D20S,19,D,W 4 St - Wash Sq,W 4 ST-WASH SQ
D21S,20,D,Broadway-Lafayette St,B'WAY-LAFAYETTE
D22S,21,D,Grand St,GRAND ST
R31S,22,D,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
R36S,23,D,36 St,36 ST
B12S,24,D,9 Av,9 AV
B13S,25,D,Fort Hamilton Pkwy,FT HAMILTON PKY
B14S,26,D,50 St,50 ST
B15S,27,D,55 St,55 ST
B16S,28,D,62 St,NEW UTRECHT AV
B17S,29,D,71 St,71 ST
B18S,30,D,79 St,79 ST
B19S,31,D,18 Av,18 AV
B20S,32,D,20 Av,20 AV
B21S,33,D,Bay Pkwy,BAY PKWY
B22S,34,D,25 Av,25 AV
B23S,35,D,Bay 50 St,BAY 50 ST
D43S,36,D,Coney Island - Stillwell Av,CONEY IS-STILLW
G05S,1,E,Jamaica Center - Parsons/Archer,JAMAICA CENTER
G06S,2,E,Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER
G07S,3,E,Jamaica - Van Wyck,JAMAICA VAN WK
F05S,4,E,Briarwood,BRIARWOOD
F06S,5,E,Kew Gardens - Union Tpke,KEW GARDENS
F07S,6,E,75 Av,75 AV
G08S,7,E,Forest Hills - 71 Av,FOREST HILLS 71
G14S,8,E,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT
G21S,9,E,Queens Plaza,QUEENS PLAZA
F09S,10,E,Court Sq,COURT SQ-23 ST
F11S,11,E,Lexington Av/53 St,LEXINGTON AV/53
F12S,12,E,5 Av/53 St,
D14S,13,E,7 Av,7 AV
A25S,14,E,50 St,50 ST
A27S,15,E,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH
A28S,16,E,34 St - Penn Station,34 ST-PENN STA
A30S,17,E,23 St,23 ST
A31S,18,E,14 St,
A32S,19,E,W 4 St - Wash Sq,W 4 ST-WASH SQ
A33S,20,E,Spring St,SPRING ST
A34S,21,E,Canal St,CANAL ST
E01S,22,E,World Trade Center,WORLD TRADE CTR
F01S,1,F,Jamaica - 179 St,JAMAICA 179 ST
F02S,2,F,169 St,169 ST
F03S,3,F,Parsons Blvd,PARSONS BLVD
F04S,4,F,Sutphin Blvd,SUTPHIN BLVD
F05S,5,F,Briarwood,BRIARWOOD
F06S,6,F,Kew Gardens - Union Tpke,KEW GARDENS
F07S,7,F,75 Av,75 AV
G08S,8,F,Forest Hills - 71 Av,FOREST HILLS 71
G14S,9,F,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT
B04S,10,F,21 St - Queensbridge,21 ST-QNSBRIDGE
B06S,11,F,Roosevelt Island,ROOSEVELT ISLND
B08S,12,F,Lexington Av/63 St,LEXINGTON AV/63
B10S,13,F,57 St,57 ST
D15S,14,F,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK
D16S,15,F,42 St - Bryant Pk,42 ST-BRYANT PK
D17S,16,F,34 St - Herald Sq,34 ST-HERALD SQ
D18S,17,F,23 St,23 ST
D19S,18,F,14 St,14 ST
D20S,19,F,W 4 St - Wash Sq,W 4 ST-WASH SQ
D21S,20,F,Broadway-Lafayette St,B'WAY-LAFAYETTE
F14S,21,F,2 Av,2 AV
F15S,22,F,Delancey St - Essex St,DELANCEY/ESSEX
F16S,23,F,East Broadway,EAST BROADWAY
F18S,24,F,York St,YORK ST
A41S,25,F,Jay St - MetroTech,JAY ST-METROTEC
F20S,26,F,Bergen St,BERGEN ST
F21S,27,F,Carroll St,CARROLL ST
F22S,28,F,Smith - 9 Sts,SMITH-9 ST
F23S,29,F,4 Av - 9 St,4 AV-9 ST
F23S,29,F,4 Av - 9 St,4AV-9 ST
F24S,30,F,7 Av,7 AV
F25S,31,F,15 St - Prospect Park,15 ST-PROSPECT
F26S,32,F,Fort Hamilton Pkwy,FT HAMILTON PKY
F27S,33,F,Church Av,CHURCH AV
F29S,34,F,Ditmas Av,DITMAS AV
F30S,35,F,18 Av,18 AV
F31S,36,F,Avenue I,AVENUE I
F32S,37,F,Bay Pkwy,BAY PKWY
F33S,38,F,Avenue N,AVENUE N
F34S,39,F,Avenue P,AVENUE P
F35S,40,F,Kings Hwy,KINGS HWY
F36S,41,F,Avenue U,AVENUE U
F38S,42,F,Avenue X,AVENUE X
F39S,43,F,Neptune Av,NEPTUNE AV
D42S,44,F,W 8 St - NY Aquarium,W 8 ST-AQUARIUM
D43S,45,F,Coney Island - Stillwell Av,CONEY IS-STILLW
S01S,1,FS,Franklin Av,
S03S,2,FS,Park Pl,
S04N,2,FS,Botanic Garden,
S03N,3,FS,Park Pl,
S04S,3,FS,Botanic Garden,
D26S,4,FS,Prospect Park,
S01N,4,FS,Franklin Av,
G22S,1,G,Court Sq - 23 St,COURT SQ
G24S,2,G,21 St,21 ST
G26S,3,G,Greenpoint Av,GREENPOINT AV
G28S,4,G,Nassau Av,NASSAU AV
G29S,5,G,Metropolitan Av,METROPOLITAN AV
G30S,6,G,Broadway,BROADWAY
G31S,7,G,Flushing Av,FLUSHING AV
G32S,8,G,Myrtle - Willoughby Avs,MYRTLE-WILLOUGH
G33S,9,G,Bedford - Nostrand Avs,BEDFORD-NOSTRAN
G34S,10,G,Classon Av,CLASSON AV
G35S,11,G,Clinton - Washington Avs,CLINTON-WASH AV
G36S,12,G,Fulton St,FULTON ST
A42S,13,G,Hoyt - Schermerhorn Sts,HOYT-SCHER
F20S,14,G,Bergen St,BERGEN ST
F21S,15,G,Carroll St,CARROLL ST
F22S,16,G,Smith - 9 Sts,SMITH-9 ST
F23S,17,G,4 Av - 9 St,4 AV-9 ST
F23S,17,G,4 Av - 9 St,4AV-9 ST
F24S,18,G,7 Av,7 AV
F25S,19,G,15 St - Prospect Park,15 ST-PROSPECT
F26S,20,G,Fort Hamilton Pkwy,FT HAMILTON PKY
F27S,21,G,Church Av,CHURCH AV
902S,1,GS,Times Sq - 42 St,
