STATION,route_id,hour,direction_id,weekday,current_crowd,last_month_crowd,last_year_crowd
PROSPECT PARK,Q,21,1.0,0,50.0,30.0,239.0
PROSPECT PARK,Q,21,1.0,1,71.0,38.0,209.0
PROSPECT PARK,Q,22,0.0,0,5.0,4.0,13.0
PROSPECT PARK,Q,22,0.0,1,5.0,5.0,10.0
PROSPECT PARK,Q,22,1.0,0,45.0,26.0,238.0
PROSPECT PARK,Q,22,1.0,1,45.0,27.0,154.0
PROSPECT PARK,Q,23,0.0,0,4.0,3.0,8.0
PROSPECT PARK,Q,23,0.0,1,3.0,1.0,6.0
PROSPECT PARK,Q,23,1.0,0,33.0,24.0,206.0
PROSPECT PARK,Q,23,1.0,1,26.0,17.0,136.0
QUEENS PLAZA,E,0,0.0,0,18.0,7.0,258.0
QUEENS PLAZA,E,0,0.0,1,18.0,8.0,249.0
QUEENS PLAZA,E,0,1.0,0,0.0,1.0,10.0
QUEENS PLAZA,E,0,1.0,1,1.0,1.0,4.0
QUEENS PLAZA,E,1,0.0,0,17.0,4.0,300.0
QUEENS PLAZA,E,1,0.0,1,10.0,6.0,261.0
QUEENS PLAZA,E,1,1.0,0,0.0,0.0,7.0
QUEENS PLAZA,E,1,1.0,1,0.0,1.0,0.0
QUEENS PLAZA,E,2,0.0,0,15.0,5.0,331.0
QUEENS PLAZA,E,2,0.0,1,14.0,8.0,241.0
QUEENS PLAZA,E,2,1.0,0,8.0,5.0,45.0
QUEENS PLAZA,E,2,1.0,1,46.0,26.0,111.0
QUEENS PLAZA,E,3,0.0,0,12.0,6.0,362.0
QUEENS PLAZA,E,3,0.0,1,19.0,9.0,221.0
QUEENS PLAZA,E,3,1.0,0,16.0,10.0,84.0
QUEENS PLAZA,E,3,1.0,1,92.0,51.0,221.0
QUEENS PLAZA,E,4,0.0,0,9.0,6.0,394.0
QUEENS PLAZA,E,4,0.0,1,23.0,11.0,201.0
QUEENS PLAZA,E,4,1.0,0,24.0,15.0,122.0
QUEENS PLAZA,E,4,1.0,1,138.0,76.0,332.0
QUEENS PLAZA,E,5,0.0,0,7.0,7.0,425.0
QUEENS PLAZA,E,5,0.0,1,27.0,13.0,181.0
QUEENS PLAZA,E,5,1.0,0,32.0,20.0,161.0
QUEENS PLAZA,E,5,1.0,1,184.0,101.0,442.0
QUEENS PLAZA,E,6,0.0,0,10.0,8.0,39.0
QUEENS PLAZA,E,6,0.0,1,23.0,11.0,62.0
QUEENS PLAZA,E,6,1.0,0,42.0,22.0,118.0
QUEENS PLAZA,E,6,1.0,1,56.0,27.0,172.0
QUEENS PLAZA,E,7,0.0,0,7.0,7.0,65.0
QUEENS PLAZA,E,7,0.0,1,12.0,6.0,62.0
QUEENS PLAZA,E,7,1.0,0,34.0,23.0,114.0
QUEENS PLAZA,E,7,1.0,1,37.0,18.0,88.0
QUEENS PLAZA,E,8,0.0,0,7.0,4.0,96.0
QUEENS PLAZA,E,8,0.0,1,8.0,5.0,63.0
QUEENS PLAZA,E,8,1.0,0,28.0,18.0,119.0
QUEENS PLAZA,E,8,1.0,1,27.0,14.0,63.0
QUEENS PLAZA,E,9,0.0,0,8.0,5.0,148.0
QUEENS PLAZA,E,9,0.0,1,11.0,5.0,105.0
QUEENS PLAZA,E,9,1.0,0,29.0,16.0,134.0
QUEENS PLAZA,E,9,1.0,1,29.0,13.0,62.0
QUEENS PLAZA,E,10,0.0,0,7.0,5.0,180.0
QUEENS PLAZA,E,10,0.0,1,16.0,7.0,140.0
QUEENS PLAZA,E,10,1.0,0,23.0,11.0,125.0
QUEENS PLAZA,E,10,1.0,1,22.0,11.0,54.0
QUEENS PLAZA,E,11,0.0,0,13.0,7.0,229.0
QUEENS PLAZA,E,11,0.0,1,25.0,13.0,169.0
QUEENS PLAZA,E,11,1.0,0,23.0,12.0,132.0
QUEENS PLAZA,E,11,1.0,1,23.0,11.0,53.0
QUEENS PLAZA,E,12,0.0,0,22.0,11.0,264.0
QUEENS PLAZA,E,12,0.0,1,43.0,23.0,225.0
QUEENS PLAZA,E,12,1.0,0,22.0,12.0,112.0
QUEENS PLAZA,E,12,1.0,1,19.0,12.0,50.0
QUEENS PLAZA,E,13,0.0,0,24.0,13.0,224.0
QUEENS PLAZA,E,13,0.0,1,63.0,31.0,308.0
QUEENS PLAZA,E,13,1.0,0,21.0,13.0,96.0
QUEENS PLAZA,E,13,1.0,1,19.0,12.0,55.0
QUEENS PLAZA,E,14,0.0,0,34.0,16.0,290.0
QUEENS PLAZA,E,14,0.0,1,99.0,53.0,332.0
QUEENS PLAZA,E,14,1.0,0,21.0,14.0,85.0
QUEENS PLAZA,E,14,1.0,1,29.0,19.0,57.0
QUEENS PLAZA,E,15,0.0,0,42.0,18.0,316.0
QUEENS PLAZA,E,15,0.0,1,85.0,43.0,357.0
QUEENS PLAZA,E,15,1.0,0,21.0,18.0,82.0
QUEENS PLAZA,E,15,1.0,1,18.0,12.0,58.0
QUEENS PLAZA,E,16,0.0,0,49.0,23.0,345.0
QUEENS PLAZA,E,16,0.0,1,84.0,39.0,346.0
QUEENS PLAZA,E,16,1.0,0,20.0,12.0,77.0
QUEENS PLAZA,E,16,1.0,1,14.0,10.0,52.0
QUEENS PLAZA,E,17,0.0,0,43.0,20.0,341.0
QUEENS PLAZA,E,17,0.0,1,71.0,31.0,337.0
QUEENS PLAZA,E,17,1.0,0,9.0,6.0,48.0
QUEENS PLAZA,E,17,1.0,1,14.0,10.0,54.0
QUEENS PLAZA,E,18,0.0,0,46.0,24.0,361.0
QUEENS PLAZA,E,18,0.0,1,73.0,32.0,404.0
QUEENS PLAZA,E,18,1.0,0,9.0,6.0,43.0
QUEENS PLAZA,E,18,1.0,1,15.0,9.0,59.0
QUEENS PLAZA,E,19,0.0,0,42.0,19.0,332.0
QUEENS PLAZA,E,19,0.0,1,56.0,26.0,380.0
QUEENS PLAZA,E,19,1.0,0,9.0,5.0,49.0
QUEENS PLAZA,E,19,1.0,1,10.0,7.0,44.0
QUEENS PLAZA,E,20,0.0,0,40.0,19.0,318.0
QUEENS PLAZA,E,20,0.0,1,40.0,21.0,309.0
QUEENS PLAZA,E,20,1.0,0,6.0,4.0,37.0
QUEENS PLAZA,E,20,1.0,1,7.0,5.0,31.0
QUEENS PLAZA,E,21,0.0,0,33.0,17.0,272.0
QUEENS PLAZA,E,21,0.0,1,31.0,17.0,276.0
QUEENS PLAZA,E,21,1.0,0,5.0,2.0,31.0
QUEENS PLAZA,E,21,1.0,1,7.0,5.0,25.0
QUEENS PLAZA,E,22,0.0,0,25.0,16.0,250.0
QUEENS PLAZA,E,22,0.0,1,24.0,13.0,285.0
QUEENS PLAZA,E,22,1.0,0,4.0,3.0,26.0
QUEENS PLAZA,E,22,1.0,1,5.0,3.0,17.0
QUEENS PLAZA,E,23,0.0,0,28.0,11.0,253.0
QUEENS PLAZA,E,23,0.0,1,19.0,11.0,246.0
QUEENS PLAZA,E,23,1.0,0,4.0,1.0,16.0
QUEENS PLAZA,E,23,1.0,1,2.0,1.0,11.0
QUEENS PLAZA,M,0,0.0,1,493.0,409.0,376.0
QUEENS PLAZA,M,0,1.0,1,92.0,42.0,325.0
QUEENS PLAZA,M,1,0.0,1,493.0,409.0,376.0
