stop_id,order,route_id,station,id,LINENAME,line
D39S,26,B,Sheepshead Bay,SHEEPSHEAD BAY,BQ,B
D40S,27,B,Brighton Beach,BRIGHTON BEACH,BQ,B
A09S,1,C,168 St,168 ST,1AC,C
A10S,2,C,163 St - Amsterdam Av,163 ST-AMSTERDM,C,C
A11S,3,C,155 St,155 ST,C,C
A12S,4,C,145 St,145 ST,ABCD,C
A14S,5,C,135 St,135 ST,BC,C
A15S,6,C,125 St,125 ST,ACBD,C
A16S,7,C,116 St,116 ST,BC,C
A17S,8,C,Cathedral Pkwy (110 St),CATHEDRAL PKWY,BC,C
A18S,9,C,103 St,103 ST,BC,C
A19S,10,C,96 St,96 ST,BC,C
A20S,11,C,86 St,86 ST,BC,C
A21S,12,C,81 St - Museum of Natural History,81 ST-MUSEUM,BC,C
A22S,13,C,72 St,72 ST,BC,C
A24S,14,C,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,C
A25S,15,C,50 St,50 ST,CE,C
A27S,16,C,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,ACENGRS1237W,C
A28S,17,C,34 St - Penn Station,34 ST-PENN STA,123ACE,C
A30S,18,C,23 St,23 ST,CE,C
A31S,19,C,14 St,14 ST,ACEL,C
A32S,20,C,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,C
A33S,21,C,Spring St,SPRING ST,CE,C
A34S,22,C,Canal St,CANAL ST,ACE,C
A36S,23,C,Chambers St,CHAMBERS ST,ACE23,C
A38S,24,C,Fulton St,FULTON ST,ACJZ2345,C
A40S,25,C,High St,HIGH ST,AC,C
